Radius	RhoND	Mass	phi	Temp	Fe	O	Si	Mg	Ni	Ca	Al
0.215	2.1930459233973267	0.022791442386223642	1.7311962836017087	6130.706479313036	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.22	2.1898149082976923	0.024346313209912214	1.7287060899526718	6105.83918813427	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.225	2.1865235556960974	0.025971442520464644	1.7261659920807788	6080.971896955503	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.23	2.1831708954869806	0.027667653404036832	1.7235759066524965	6056.104605776737	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.235	2.1797559575647787	0.029436310869569406	1.7209357988581764	6031.23731459797	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.24	2.176277771823929	0.031279323892110265	1.7182456265768298	6006.370023419204	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.245	2.1727353681588717	0.033197193636722085	1.7155053767314967	5981.502732240437	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.25	2.1691277764640406	0.035192196391859484	1.712715048574418	5956.63544106167	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.255	2.1654540266338755	0.03726488339872495	1.7098746470163706	5931.768149882903	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.26	2.1617131485628143	0.039416626378140994	1.7069842178414332	5906.900858704137	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.265	2.157904172145292	0.04164935133394417	1.7040437913922242	5882.033567525371	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.27	2.154026127275749	0.0439638386260728	1.701053404193835	5857.166276346604	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.275	2.1500780438486213	0.04636053513712488	1.6980131482981358	5832.298985167838	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.28	2.1460589517583464	0.048842193070614624	1.6949231007328989	5807.4316939890705	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.28500000000000003	2.141967880899363	0.0514087455880648	1.6917833384252403	5782.564402810304	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.29	2.137803861166107	0.0540614152530386	1.6885939864805335	5757.697111631538	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.295	2.133565922453017	0.05680283424754139	1.6853551325072866	5732.829820452771	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.3	2.129253094654532	0.059632651618356576	1.6820668735174158	5707.962529274004	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.305	2.1248644076650858	0.0625520128612647	1.6787293571465742	5683.0952380952385	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.31	2.120398891379119	0.06556304992718613	1.6753427088896988	5658.227946916471	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.315	2.1158555756910675	0.0686650665617921	1.6719070800278264	5633.360655737704	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.32	2.1112334904953705	0.07186142101471521	1.66842261637295	5608.493364558938	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.325	2.106531665686464	0.07515177462798457	1.6648894469210769	5583.626073380172	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.33	2.101749131158785	0.07853672087695261	1.661307751668472	5558.758782201405	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.335	2.0968849168067747	0.08201860476782731	1.6576776947331264	5533.891491022638	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.34	2.0919380525248665	0.08559682077174018	1.6539994505047764	5509.024199843872	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.34500000000000003	2.0869075682075	0.08927303948342415	1.6502732180907782	5484.156908665105	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.35000000000000003	2.0817924937491123	0.09304915388265864	1.646499165670372	5459.289617486338	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.355	2.076591859044141	0.09692420090758556	1.642677485613493	5434.422326307572	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.36	2.0713046939870243	0.10090019963865736	1.6388083905729052	5409.555035128806	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.365	2.0659300284721978	0.10497763005948164	1.6348920821324002	5384.687743950039	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.37	2.0604668923941007	0.1091577033183645	1.6309287670823116	5359.820452771272	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.375	2.0549143156471694	0.11344003310816488	1.6269186714651829	5334.953161592506	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.38	2.0492713281258443	0.1178265700250367	1.6228620260739128	5310.085870413739	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.385	2.0435369597245594	0.1223176667079044	1.6187590519588675	5285.218579234972	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.39	2.0377102403377534	0.12691444719389613	1.6146099752567276	5260.351288056206	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.395	2.0317901998598646	0.13161631958819825	1.610415041051639	5235.4839968774395	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.4	2.0257758681853306	0.13642498255694854	1.6061745027727612	5210.616705698672	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.405	2.0196662752085874	0.1413399664790086	1.6018886181514624	5185.749414519906	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.41	2.0134604508240734	0.14636292099708012	1.5975576498939623	5160.88212334114	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.415	2.0071574249262274	0.15149438796174391	1.5931818492909706	5136.014832162373	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.42	2.000756227409485	0.1567339915759057	1.588761485947949	5111.147540983607	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.425	1.9942558881682857	0.16208308802095098	1.5842968346791833	5086.2802498048395	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.43	1.9876554370970647	0.16754076074651136	1.579788181324248	5061.412958626073	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.435	1.9809539040902613	0.17310781482349866	1.5752358292933364	5036.545667447306	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.44	1.9741503190423129	0.17878555191708628	1.5706400683510755	5011.67837626854	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.445	1.967243711847656	0.1845743080327846	1.5660011811534331	4986.811085089773	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.45	1.9602331124007293	0.19047339847490832	1.561319468244031	4961.943793911007	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.455	1.9531175505959697	0.19648258652302128	1.5565952532649143	4937.07650273224	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.46	1.9458960563278145	0.2026035010913772	1.5518288530624722	4912.209211553473	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.465	1.9385676594907024	0.20883532873918284	1.547020584004154	4887.341920374707	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.47	1.9311313899790696	0.21517767057046847	1.5421707851443518	4862.47462919594	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.475	1.923586277687355	0.22163234393034167	1.5372797866380312	4837.607338017175	0.855	0.0	0.06	0.0	0.052	0.0	0.0
